id	image_id	caption	height	width	file_name
282	8965	The cow is rushing towards a moving car.	375	500	COCO_train2014_000000008965.jpg
655	260395	The bus is traveling down a two way street.	480	640	COCO_train2014_000000260395.jpg
1919	548183	An overside load on a truck is driving down the road.	480	640	COCO_train2014_000000548183.jpg
2449	240101	A man in his living room with a game control in his hand.	640	463	COCO_train2014_000000240101.jpg
3994	362038	Picture of a woman hanging over a toilet.	640	433	COCO_train2014_000000362038.jpg
4219	480014	two motorcycles and a car parked on the side of an empty road.	640	480	COCO_train2014_000000480014.jpg
5933	332215	A giraffe standing taller than the trees that surround it	640	428	COCO_train2014_000000332215.jpg
7631	149233	Baseball players and coach during a practice session.	426	640	COCO_train2014_000000149233.jpg
8165	398305	A young woman sitting on a bunk bed.	640	463	COCO_train2014_000000398305.jpg
8560	379743	A sign warning drivers to slow down because of the presence of children.	431	640	COCO_train2014_000000379743.jpg
11546	357443	A gold clock featuring a man and a bird.	427	640	COCO_train2014_000000357443.jpg
12209	408294	A woman stands up to play a game while others watch.	334	500	COCO_train2014_000000408294.jpg
12214	207075	A fighter jet flying through a blue cloud filled sky.	427	640	COCO_train2014_000000207075.jpg
12310	119938	Two zebras standing together staring at other animals in the distance	427	640	COCO_train2014_000000119938.jpg
12824	132646	A cat sitting next to a sports water bottle.	427	640	COCO_train2014_000000132646.jpg
16062	43210	A chocolate cake with candles that is shaped like a six-legged creature.	458	640	COCO_train2014_000000043210.jpg
16859	334048	A giraffe on the plains with a mountain in the background.	640	492	COCO_train2014_000000334048.jpg
16963	387295	A calico cat sitting underneath a metal bench,	428	640	COCO_train2014_000000387295.jpg
19857	240321	A man is sitting on the ground looking at his phone.	427	640	COCO_train2014_000000240321.jpg
20118	139124	A old clock and sculptures of people in blue outfits.	438	640	COCO_train2014_000000139124.jpg
22609	232186	A bowl of pasta with meat and broccoli.	425	640	COCO_train2014_000000232186.jpg
22759	68252	A baseball player attempts a slide as a catcher and umpire look on.	426	640	COCO_train2014_000000068252.jpg
25891	159403	close up of toy truck on a table	511	640	COCO_train2014_000000159403.jpg
34997	164310	A person water skiing on the ocean from a boat.	481	640	COCO_train2014_000000164310.jpg
35274	205356	A restroom with a toilet next to a sink.	640	480	COCO_train2014_000000205356.jpg
